code,印度尼西亚 Indonesian
rule_bacc_page1_text2,"Pilih untuk menaruh taruhan pada Pemain, Banker, Seri atau taruhan lain. Pemain dan Banker sama-sama mendapat 2 kartu di awal"
rule_bacc_page1_text3,Nilai kartu
rule_bacc_page1_text4,Kartu
rule_bacc_page1_text5,Poin
rule_bacc_page1_text6_7,"Ketika jumlah total kurang dari 10 poin, maka jumlah poin dalam kartu akan dihitung sebagai poin baccarat. Apabila jumlah poin melebihi sembilan, maka akan dikurangi 10 poin, sisa poin akan dihitung sebagai poin baccarat."
rule_bacc_page2_text1,"Untuk memastikan keadilan pemainan, kami menyediakan baccarat yang paling populer di industri, yang memberi enam kartu di awal. Semoga beruntung!"
rule_bacc_page2_text2,Hasil permainan
rule_bacc_page2_text3,"Banker atau Pemain, siapapun yang dapat poin tertinggi menang."
rule_bacc_page2_text4,Tipe kamar
rule_bacc_page2_text5,Taruhan Pemain
rule_bacc_page2_text6,Taruhan Banker
rule_bacc_page2_text7,Taruhan Seri
rule_bacc_page2_text8,Umum
rule_bacc_page2_text9,Menang
rule_bacc_page2_text10,Seri
rule_bacc_page2_text11,Kembalikan
rule_bacc_page2_text12,Banker menang dalam 6 poin
rule_bacc_page2_text13,Banker menang selain dalam 6 poin
rule_bacc_page3_text1,Anda bisa menaruh taruhan di Pemain Pair atau Banker Pair. Pemain atau Banker yang mempunyai pair dalam dua kartu pertama akan menang
rule_bacc_page3_text2,Pemain Pair menang
rule_bacc_page3_text3,Banker Pair menang
rule_bacc_page4_text1,Peraturan untuk kartu ketiga
rule_bacc_page4_text2,"Ketika Pemain atau Banker mendapatkan 8 atau 9 poin, mereka tidak akan dapat kartu ketiga. Selain itu, ketika Pemain mendapatkan 6 atau 7, mereka juga tidak dapat kartu ketiga, jika pemain memiliki di bawah 5 poin baru akan dapat kartu ketiga. dan Banker mengeluarkan kartu ketiga berdasarkan peraturan berikut:"
rule_bacc_page4_text3,Poin Banker
rule_bacc_page4_text4,Tidak ada kartu ketiga untuk Pemain
rule_bacc_page4_text5,Pemain mendapatkan kartu ketiga
rule_bacc_page4_text6,DAPAT
rule_bacc_page4_text7,TIDAK
rule_bacc_page5_text1,"Bead Road, dan Big Road"
rule_bacc_page5_text2,Peta langkah baccarat adalah representasi grafis dari beberapa ronde permainan baccarat terakhir
rule_bacc_page5_text3,-Pemain menang
rule_bacc_page5_text4,-Banker menang
rule_bacc_page5_text5,-Seri
rule_bacc_page5_text6,-Pemain Pair
rule_bacc_page5_text7,-Banker Pair
rule_bacc_page5_text8,"Terdapat tiga roads(Big-eye road, small road, cockroach road). Setiap baris dan road menggunakan perhitungan yang berbeda untuk menebak hasil akhir dari permainan"
rule_bacc_page5_text9,-Catat perhitungan hasil dari main road
rule_dt_title,Peraturan Naga Harimau
rule_dt_page1_text1,"Hasil ditentukan dari nomor kartu yang keluar, permainan ini sangat populer di semua kalangan."
rule_dt_page1_text2,"Permainan ini menggunakan 8 set kartu, setiap set terdiri dari 52 kartu. Pemain bisa menaruh taruhan pada Naga, Harimau atau Seri. Dealer hanya membagikan 1 kartu ke 2 bagian, pertama adalah Naga, setelah itu Harimau. Bagian dengan nomor tertinggi akan menang, A paling kecil dan K paling besar. Urutan kartu dari kecil sampai besar: 1-2-3-4-5-6-7-8-9-10-11-12-13. Jika nomor kartu yang keluar sama, hasil permainan adalah Seri."
rule_dt_page2_text1,Burn
rule_dt_page2_text2,"Sebelum ronde pertama dimulai, dealer akan memberikan satu kartu di mana nilainya sama dengan jumlah kartu yang di-burn sebelum ronde dimulai. Contoh: kartu pertama adalah 3, jadi 3 kartu akan diambil."
rule_dt_page2_text3_1,"Naga, peluang: 1 banding 1. Ketika hasil berupa Seri, pemain akan kehilangan setengah nilai taruhan."
rule_dt_page2_text3_2,"Harimau, peluang: 1 banding 1. Ketika hasil berupa Seri, pemain akan kehilangan setengah nilai taruhan."
rule_dt_page2_text3_3,"Seri, peluang: 1 banding 8."
bb_texe_01,Geser ke atas dan ke bawah untuk melihat bukaan di setiap ruangan dengan jelas.
bb_texe_02,Geser ke atas dan ke bawah untuk menampilkan ruangan
bb_texe_03,"Ingin memasuki game dengan cepat, pilih untuk bergabung dalam game baru atau bergabung di game akhir."
bb_texe_04,1. Bergabung cepat dapat memasang taruhan melalui ronde yang ada.
bb_texe_05,2. Bergabung cepat memasang taruhan di ronde game baru.
bb_texe_06,"Klik pada tanda tanya bulat untuk membuka area taruhan dan pasang taruhan di banker, Pemain, sisi tie, atau area taruhan samping lainnya."
bb_texe_07,Klik pada tanda tanya untuk membuka area taruhan
bb_texe_08,Memasang lebih banyak taruhan dan menikmati pengalaman seru yang belum pernah ada sebelumnya.
bb_texe_09,Geser ke kiri dan kanan untuk menampilkan jumlah taruhan
bb_texe_10,Pilih posisi pemasangan taruhan dan Anda dapat memasang lebih banyak taruhan.
bb_texe_11,Pilih apakah akan mengaktifkan taruhan cepat untuk mempercepat pemasangan taruhan
bb_texe_12,Pilih apakah akan Taruhan Cepat . Sistem default untuk Taruhan Umum
bb_texe_13,"Taruhan cepat: memungkinkan pemain memiliki pengalaman membuka kartu dalam hitungan detik, tidak perlu menghabiskan waktu menunggu."
bb_texe_14,1. Pengaturan Jumlah Taruhan
bb_texe_15,"2. Pengaturan posisi pemasangan taruhan, dapat bertaruh lebih banyak."
bb_texe_16,3. Hapus pengaturan taruhan
bb_texe_17,4. Klik pada tanda tanya untuk memasang taruhan
bb_texe_18,"Blockchain Baccarat menjadi cara permainan Baccarat tercepat yang pertama, game ini terjamin jujur dan adil, semoga Anda dapat bertaruh dengan gembira."
bb_texe_19,Pengenalan blockchain
bb_texe_20,"Teknologi Blockchain adalah solusi teknis yang tidak bergantung pada pihak ketiga untuk menyimpan, memverifikasi, mengirim dan pertukaran data jaringan melalui sistem node terdesentralisasi dan ini terbuka secara umum untuk seluruh publik dalam jaringan."
bb_texe_21,"Ketika ada lebih dari 6 node yang mengkonfirmasi, maka operasi transaksi tsb tidak dapat dibalik, dan mencapai efek bahwa informasi tidak dapat dimodifikasi."
bb_texe_22,Alasan tidak perlu memotong kartu
bb_texe_23,"Setiap kali shoe kartu baru keluar, semua hasil game telah ditentukan, jadi Anda tidak perlu melakukan pemotongan kartu untuk bermain."
bb_texe_24,Keadilan
bb_texe_25,"Ketika shoe kartu keluar, informasi shoe kartu dienkripsi dan diunggah ke blockchain. Ketika shoe kartu berakhir, sistem akan mengunggah kunci enkripsi ke blockchain untuk membuka kunci informasi kartu, dan pemain dapat periksa informasi kartu di blockchain."
bb_texe_26,"Karena sifat blockchain yang tidak dapat diubah, pemain dapat memverifikasi apakah informasi kartu sama dengan kartu ketika dalam game, sehingga dapat mencapai nol kecurangan."
rule_roul_title,Peraturan Roulette
rule_roul_page1_text1,"Roulette terdiri dari 37 pocket. Green Pocket bernomor 0. Dari 1-10 dan 19-28, ganjil berwarna merah, genap berwarna hitam. Nomor 11-18 dan 29-36, ganjil berwarna hitam, genap berwarna merah. Pemain bisa menaruh taruhan pada 1 angka atau kombinasi dari beberapa angka."
rule_roul_page1_text2,Instruksi taruhan
rule_roul_page1_text3,"Dipermainan baru, tamu dapat bertaruh di dalam atau di luar kotak area taruhan"
rule_roul_page1_text4,"Setelah menaruh taruhan, roulette akan mulai berputar dan bola putih akan berhenti secara pelan-pelan di salah satu pocket bernomor."
rule_roul_page2_text2,Klik pada kotak yang berbeda untuk menaruh taruhan sebelum waktu berakhir
rule_roul_page2_text3,Jenis taruhan dan imbalan
rule_roul_page2_text4,Jenis taruhan sebagai berikut:
rule_roul_page2_text5,Taruhkan chip Anda di nomor manapun (termasuk 0)
rule_roul_page2_text6,"Taruhkan chip Anda di garis antara 2 nomor, contoh: 2 dan 3 (tidak termasuk 0)"
rule_roul_page2_text7,Jumlah tiga angka dalam sebaris (bet tiga angka. Klik pada garis di atas barisan 3 angka)
rule_roul_page2_text8,"0, 1, 2 (Taruhkan chip Anda di persilangan antara 0, 1 dan 2) atau 0, 2, 3 (Taruhkan chip Anda di persilangan antara 0, 2 dan 3)"
rule_roul_page2_text9,4 nomor (Taruhkan chip Anda pada sudut persilangan antara 4 angka)
rule_roul_page3_text1,"0, 1, 2, 3 (Taruhkan chip Anda pada sisi kanan persilangan dari 0 dan 3, untuk taruhan 0, 1, 2 dan 3)"
rule_roul_page3_text2,Di atas 2 garis yang bersilangan (taruh taruhan Anda di atas 2 garis yang bersilangan untuk 6 nomor)
rule_roul_page3_text3,"Setiap 12 nomor di sebuah kolom (taruh taruhan Anda di salah satu kotak dengan tanda *, 0 tidak termasuk)"
rule_roul_page3_text4,"Klik pada area tulisan ""dozen pertama"", ""dozen kedua"" dan ""dozen ketiga"" untuk secara bersamaan bertaruh 12 digit. (masing-masing adalah 1-12, 13-24 dan 25-36)"
rule_roul_page3_text5,"Hasil taruhan adalah ganjil atau genap. Jika hasilnya adalah 0, ganjil dan genap akan kalah"
rule_roul_page3_text6,"Nomor lotere taruhan berwarna merah atau hitam. Jika terbuka angka 0, maka mati semua."
rule_roul_page3_text7,"Kecil (1-18); besar (19-36). Jika terbuka 0, maka mati semua."
rule_roul_page4_text1_h,Straight up 
rule_roul_page4_text2_h,Split bet 
rule_roul_page4_text3_h,Street bet 
rule_roul_page4_text4_h,3 Numbers Bet 
rule_roul_page4_text5_h,Corner Bet 
rule_roul_page4_text6_h,4 nomor 
rule_roul_page5_text1_h,Line bet 
rule_roul_page5_text2_h,Kolom 
rule_roul_page5_text3_h,Lusin 
rule_roul_page5_text4_h,Merah/Hitam 
rule_roul_page5_text5_h,Ganjil/Genap 
rule_roul_page5_text6_h,Besar/Kecil 
rule_roul_page6_text1,French Roulette
rule_roul_page6_text2,Area taruhan
guide_roul14,"Di French Roulette, Anda dapat bertaruh langsung angka di area tertentu seperti Tiers, Orphelins, Voisins, atau Jeu 0."
rule_roul_page6_text3,"Anda dapat berpindah kemanapun untuk bertaruh dalam nomor Roulette kecil. Contoh: klik nomor 18, sistem akan memasukkan dua nomor diantaranya pada waktu bersamaan untuk membuat taruhan langsung"
rule_sicbo_page4_text1,Triple spesifik
rule_sicbo_page4_text2,Setiap kombinasi triple
rule_sicbo_page4_text3,"Hasil harus meliputi jumlah poin yang sama dengan dua dadu yang kamu pasang dalam 2 Dadu Pair. Sebagai contoh, jika bertaruh 2 Dadu Pair 2,2, maka hasilnya adalah (2,2,1)"
rule_sicbo_page4_text4,"Hasil harus meliputi jumlah poin yang sama dengan dua dadu yang kamu pasang dalam Kombinasi 2 Dadu. Sebagai contoh, jika bertaruh 2 Dadu Kombinasi 2,3, maka hasilnya adalah (1,2,3)"
rule_sicbo_page4_text5,"Taruhan Nomor Single untuk nomor yang muncul 1 kali. Contoh: bertaruh nomor 1, dan hasil permainan (1, 2, 5)"
rule_sicbo_page4_text6,"Taruhan Nomor Single untuk nomor yang muncul 2 kali. Contoh: bertaruh pada nomor 2, dan hasil permainan (2, 2, 6)"
rule_sicbo_page4_text7,"Taruhan Nomor Single untuk nomor yang muncul 3 kali. Contoh: bertaruh pada nomor 3, dan hasil permainan (3, 3, 3)"
rule_sicbo_page4_text8,"Taruhan pada 3 dadu tertentu, 2 dadu memiliki poin yang sama"
rule_sicbo_page4_text9,"Taruhan pada 3 dadu tertentu, dan ketiga dadu memiliki poin yang berbeda"
slot_text_1,Pengenalan mesin slot
slot_text_2,"Mesin slot adalah salah satu permainan paling sederhana, dan inilah salah satu alasan mengapa game ini sangat menarik. Anda tidak perlu menguasai aturan atau teknik apapun untuk bermain game."
slot_text_3,"Platform eBET mengkategorikan permainan slot (game favorit, game terbaru, semua game, Game Jackpot) dan menyediakan fungsi pencarian yang memungkinkan pemain untuk menemukan game yang ingin mereka mainkan dengan cepat."
slot_text_4,Pengenalan Game:
slot_text_5,"Jika Anda memiliki modal awal yang kecil, disarankan untuk memilih mesin dengan pemasangan bet rendah. Dapat memperoleh kesempatan bet lebih banyak."
slot_text_6,"Berbagai penjelasan permainan mesin slot, silakan masuk ke permainan, klik ⓘ untuk melihat penjelasan game tersebut."
jackpotGames,Game Jackpot
g_ERROR_BET_NOT_ENOUGH,Jumlah taruhan tidak mencukupi
txt_km_kh,Bahasa Khmer
txt_pt_pt,Bahasa Portugis
touristKickFive,Anda tidak dapat memasang taruhan di ruangan ini dan sistem akan secara otomatis mengeluarkan Anda setelah 5 ronde.
g_round_no_bb,No. Ronde
derived_roads,Small Rd
buy_point,Beli Poin
enter_buy_point,Masukkan jumlah pembelian poin
other_point,Poin lain
cur_point,Poin saat ini
point_amount,Jumlah poin
downline_agent,Sub agen
g_generate,Hasilkan
spend_point,Poin bayar
g_yes,Iya
g_no,Tidak
point_left,Sisa poin saat ini
player_type,Tipe Pemain
normal_player,Normal
agent_player,Agen
ini_point,Poin Awal
last_point,Sisa poin
all_type,Semua
give_point,Poin Pemberian
g_enabled,Aktifkan
g_settle,Pembayaran
commission_point,Poin komisi
settle_point,Perhitungan Poin
effective_bet,Taruhan Efektif
ini_last_point,Awal/Sisa Poin
ini_last_round,Awal/Sisa Ronde
g_upline_data,Informasi Agen
g_risk,Risiko
give_rounds,Ronde Pemberian
by_group,Batch
activation_code,Kode Aktivasi
copy_success_text_00,Kode Aktivasi telah disalin
copy_success_text_01,Tautan link aktivasi telah disalin
invite_url,Website link aktivasi
confirm_text_00,Yakin mau di recycle?
confirm_text_01,Yakin mau checkout?
confirm_text_02,Berhasil checkout!
confirm_text_03,Berhasil recycle!
store_point_text_00,Poin isi ulang tidak boleh lebih dari 9 digit
store_point_text_01,Ronde isi ulang
store_point_text_02,Poin isi ulang
g_cash,Uang tunai
g_credit,Kredit
no_round_last,"Tidak ada ronde yang tersisa untuk bermain, silakan mengambil dari pemain agen Anda!"
invitation_point_text_00,Anda belum setting tabel laporan!
invitation_point_text_01,"Anda tidak ada poin tersisa, silakan beli poin dulu, baru dapat mengundang teman!"
invitation_point_text_02,Berhasil setting tabel laporan!
invitation_point_text_03,Minimal harus membeli 1000 poin
invitation_point_text_04,Pembelian poin berhasil!
invitation_point_text_05,"Tidak ada poin yang tersisa untuk bermain, silakan mengambil dari pemain agen Anda!"
plan_type_selection_text_00,Settingan program penyewaan berhasil!
plan_type_selection_text_01,Silakan pilih program sebelum digunakan
plan_type_selection_text_02,"Harap diperhatikan, program tidak dapat dimodifikasi setelah konfirmasi."
plan_type_selection_text_03,Tipe Poin
plan_type_selection_text_04,Tipe Ronde
remark_text_00,Harap isi teks keterangan
remark_text_01,Jumlah teks tidak boleh melebihi 250 kata
remark_text_02,Penambahan keterangan berhasil!
remark_text_03,Jumlah maksimal keterangan adalah 10 buah.
remark_text_04,Masih belum ada keterangan
remark_text_05,Tambah Keterangan
point_recycle_01,Pengumpulan Poin recovery
point_recycle_02,Poin recovery
point_settle,Perhitungan poin
point_store,Isi ulang poin
point_draw,Transfer poin
g_channel,Saluran
g_user,Pengguna
g_system,Sistem
friend_get_invitation_error,Tidak ada informasi undangan
friend_get_invitationList_error,Tidak ada list kode undangan
friend_not_agent_not_planType,Bukan agen atau tidak ada informasi penyewaan
friend_nick_cannot_be_empty,Kolom Nickname tidak boleh kosong
friend_verifyCode_cannot_be_empty,Kolom kode undangan tidak boleh kosong
friend_isAgent_cannot_be_empty,Kolom agen tidak boleh kosong
friend_general_money_not_enough,Uang tidak cukup
friend_channel_type_error,Kolom tipe Channel salah
friend_invitation_insert_error,Pengisian informasi undangan gagal
friend_batch_more_than_10,Jumlah batch melebihi 10
friend_inviteCode_used,Kode undangan telah dipakai
friend_downLineUser_not_agent,Downline bukan agen
friend_rent_type_error,Tipe penyewaan salah
friend_cannot_add_remarks_anymore,Tidak dapat menambah keterangan
friend_update_invitation_error,Update informasi undangan gagal
friend_get_pointSettle_error,Pengambilan informasi perhitungan gagal
friend_friendType_error,Kolom status teman salah
friend_pointSettle_update_error,Update informasi perhitungan gagal
friend_channel_not_found,Pengambilan informasi channel gagal
friend_roundCount_not_enough,Ronde tidak cukup
friend_point_not_enough,Poin tidak cukup
friend_rent_not_found,Tidak ada informasi penyewaan
friend_pointSettle_insert_error,Penulisan informasi perhitungan gagal
users_not_found,Tidak ada daftar pengguna
mail_insert_error,Penulisan data email gagal
mail_template_not_found,Tidak ditemukan template email
mail_remove_error,Gagal menghapus email
mail_read_error,Penulisan email gagal
mail_all_status_not_found,Email grup gagal dibuka
friend_rent_create_error,Pembuatan platform informasi gagal
friend_rent_updateUser_error,Update informasi pemain gagal
friend_rent_not_enough_amount,Jumlah pembelian pemain tidak cukup
friend_rent_no_rent,Tidak ada data program penyewaan
friend_rent_no_channel,Kehilangan channel
friend_rent_should_be_a_number,Harus 1 angka
friend_rent_user_not_at_correct_channel,Pemain berada di channel yang salah
friend_rent_cannot_start_rent,Tidak dapat membuka program penyewaan
friend_rent_cannot_get_down_line_list,Gagal menemukan daftar downline
friend_rent_no_planType,Belum menentukan tipe program
friend_rent_cannot_set_planType_again,Telah setting tipe program
friend_rent_error_occur_when_set_planType,Setting tipe program error
friend_rent_cannot_set_rentType_again,Telah setting tipe penyewaan
friend_rent_error_occur_when_set_rentType,Setting tipe penyewaan error
friend_rent_safeLimitPersentage_cannot_over_hundred,"Jumlah batas aman peringatan risiko, jumlah tidak boleh melebihi 100%"
friend_rent_wrong_planType,Tipe program salah
friend_rent_over_riskLimit,Telah melebihi batas maksimal risiko
friend_rent_no_event_id_definition,Tidak ada operasi kejadian
friend_rent_wrong_money_type,Tipe uang salah
friend_rent_error_occur_in_patchAmount,Pembelian poin gagal
warning_bet_brokerageRequired_different,"Di dalam ronde ini, 
settingan taruhan kali ini 
berbeda dengan 
settingan komisi gratis 
taruhan pertama kali"
warning_change_video_to_low_quality,"Kecepatan internet lambat, video dialihkan ke mode standar"
baccarat_banker_lucky6,Lucky6
baccarat_bankerDragonBonus,BankerDragonBonus
baccarat_playerDragonBonus,PemainDragonBonus
baccarat_big,Besar
baccarat_small,Kecil
baccarat_bankerOdd,Banker Ganjil
baccarat_bankerEven,Banker Genap
baccarat_playerOdd,Pemain Ganjil
baccarat_playerEven,Pemain Genap
baccarat_limit,Batas
baccarat_select_betArea,Pemilihan area taruhan
baccarat_betArea_switch,Ganti
baccarat_betArea_select,Pilih
baccarat_customerBet,Kustomisasi area taruhan
baccarat_customerBetselect,Pemilihan area taruhan telah penuh
baccarat_customerBet_cant_move_area,Wilayah ini saat ini ada taruhan dan tidak dapat diubah
baccarat_banker_Dragon_Bonus,DragonBonus
baccarat_banker_lucky_0,Lucky
baccarat_customerBet_lucky_maxBetRate,MAX
baccarat_customerBet_over_thirty_cant_bet,"Apabila setiap card shoe telah memasuki ronde 31 atau lebih, 
maka player tidak dapat bertaruh Banker Dragon Bonus, 
Pemain Dragon Bonus dan besar kecil"
baccarat_banker_lucky6_Description_1,"Ketika Banker menang dengan 2 kartu enam poin, maka pemain yang bertaruh ""Lucky6"" akan mendapat perbandingan bonus 1:12"
baccarat_banker_lucky6_Description_2,"Ketika Banker menang dengan 3 kartu enam poin, maka pemain yang bertaruh ""Lucky6"" akan mendapat perbandingan bonus 1:20, hasil lainnya, nilai taruhan akan kalah semua. "
wait_for_use_013,"Anda telah berada di meja ini, gunakan kesempatan baik-baik untuk bertaruh! "
wait_for_use_014,"Ruangan ini tidak ada jalan bagus untuk sementara, jendela akan segera ditutup!"
wait_for_use_015,Settingan tips jalan bagus
wait_for_use_016,Tips jalan bagus
baccarat_banker_Dragon_Description_1,"DragonBonus akan memiliki sistem bonus yang berbeda sesuai dengan nilai poin taruhan kemenangan, maksimal 30x lipat, dan tidak akan dikutip komisi. Apabila bertaruh salah satu pihak mendapatkan kemenangan, dan memenuhi salah satu kriteria di bawah akan mendapatkan pembagian bonus;  "
baccarat_banker_Dragon_Description_2,Nilai kartu pihak pemenang melebihi 4 poin dari pihak yang kalah (non-natural). 
baccarat_banker_Dragon_Description_3,"2 kartu pihak pemenang apabila ditambahkan bernilai 8 atau 9 (natural), bisa mendapatkan 1 kali lipat bonus. "
baccarat_banker_Dragon_Description_4,"Apabila taruhan kalah atau seri atau nilai menang di bawah 3 poin, maka uang taruhan akan hilang, tetapi bila kedua belah pihak adalah 8 poin atau 9 poin (natural) dan keduap belah pihak seri, maka dapat mengambil kembali uang taruhan."
baccarat_banker_Dragon_Winning_situation,Kondisi kemenangan
baccarat_banker_Dragon_Payout_table,Tabel nilai pembayaran
baccarat_banker_Dragon_Payout_table_Description_1,Pemenang (Non-Natural) menang 9 poin
baccarat_banker_Dragon_Payout_table_Description_2,Pemenang (Non-Natural) menang 8 poin
baccarat_banker_Dragon_Payout_table_Description_3, Pemenang (Non-Natural) menang 7 poin
baccarat_banker_Dragon_Payout_table_Description_4,Pemenang (Non-Natural) menang 6 poin 
baccarat_banker_Dragon_Payout_table_Description_5,Pemenang (Non-Natural) menang 5 poin
baccarat_banker_Dragon_Payout_table_Description_6,Pemenang (Non-Natural) menang 4 poin
baccarat_banker_Dragon_Payout_table_Description_7,Pemenang (Natural) menang
baccarat_banker_Dragon_Payout_table_Description_8,Seri (Natural) 
wait_for_use_001,"Jumlah kartu Pemain/Banker (termasuk kartu tambahan), 5-6 kartu sebagai besar; berarti tambah kartu menjadi lebih besar"
wait_for_use_002,"Jumlah kartu Pemain/Banker (tidak termasuk kartu tambahan), 4 kartu sebagai kecil; berarti tidak tambah kartu menjadi lebih kecil"
wait_for_use_003,"Bertaruh Dragon, 1:1, apabila seri akan kalah setengah nilai bet.  
 Bertaruh Tiger, 1:1, apabila seri akan kalah setengah nilai bet.  
 Apabila bertaruh seri, bonus menang 1:8."
wait_for_use_004_1,"Banker Ganjil, 1:0.94, Kartu Banker setiap ronde (termasuk kartu tambahan) setelah ditambah bernilai ganjil "
wait_for_use_004_2,"Banker Genap, 1:0.94, Kartu Banker setiap ronde (termasuk kartu tambahan) setelah ditambah bernilai genap "
wait_for_use_004_3,"Pemain Ganjil, 1:0.96, Kartu Pemain setiap ronde (termasuk kartu tambahan) setelah ditambah bernilai ganjil "
wait_for_use_004_4,"Pemain Genap, 1:0.90, Kartu Pemain setiap ronde (termasuk kartu tambahan) setelah ditambah bernilai genap "
wait_for_use_005,"Banyak jenis cara bertaruh sesuai keinginan Anda, biarkan sumber uang Anda datang dari berbagai tempat"
g_game_guide_custom_title,Peraturan Kustomisasi Taruhan (Tidak berlaku untuk game meja)
g_game_guide_custom_table_01,"Anda dapat melalui tipe bertaruh, bebas untuk memilih opsi permainan yang Anda inginkan, setelah pemilihan selesai, segera dapat memulai bertaruh."
baccarat_customerBet_Description_02,Minimal memilih 5 area taruhan versi komputer maksimal dapat memilih 9 area taruhan 
baccarat_customerBet_Description_03,"Perhatian: Apabila setiap card shoe telah memasuki ronde 31 atau lebih, maka pemain tidak dapat bertaruh Banker Dragon Bonus, Pemain Dragon Bonus dan besar kecil"
wait_for_use_009,Kustomisasi bertaruh dengan berbagai tipe taruhan dan pembagian bonus sebagai berikut
wait_for_use_010,Tipe Taruhan
wait_for_use_011,Batas taruhan 
wait_for_use_012,Pemilihan area taruhan
msg_bigBonus,Selamat kepada pemain%s telah memenangkan hadiah besar %s %s angpao
BigSmall,Besar/Kecil
limited_bonus_txt_00,Angpao terbatas $%s
lucky_bonus_txt_00,Angpao keberuntungan $%s
limited_bonus_txt_01,"Angpao terbatas $%s, %s free spin %s"
lucky_bonus_txt_01,"Angpao keberuntungan $%s, %s free spin %s"
lucky_bonus,Angpao Keberuntungan
limited_bonus,Angpao Terbatas
txt_es_es,Bahasa Spanyol
CustomizeBetMode_txt_01,Silakan pilih penuh %s baru bisa bertaruh
choose_luck,Pilih keberuntunganmu
RedEnrelope_Win_lose,Menang atau kalah
Currency_CNY,CNY
Currency_USD,USD
Currency_JPY,JPY
Currency_EUR,EUR
Currency_MYR,MYR
Currency_VND,mVND
Currency_KRB,mKRW
Currency_TWD,TWD
Currency_IDR,mIDR
Currency_THB,THB
Currency_HKD,HKD
Currency_INR,INR
Currency_RUB,RUB
Currency_RON,RON	
Currency_PLN,PLN
Currency_TRY,TRY
Currency_AUD,AUD
Currency_BND,BND	
Currency_GBP,GBP
Currency_BTC,BTC
Currency_MBT,mBTC
Currency_ETH,ETH
Currency_UST,USDT
Currency_KHR,KHR
Currency_KES,KES
gameRanking_title,Papan peringkat permainan
hr24_ranking,24 jam peringkat
day7_ranking,7 hari peringkat
day30_ranking,30 hari peringkat
ranking_noData,Tidak ada catatan sementara
Browser_not_support,"Browser ini tidak mendukung sebagian fitur, silakan gunakan browser chrome untuk pengalaman bermain yang lebih baik."
RedEnvelope_GS_1,Look out!!! This is the red envelope round!!!
RedEnvelope_GS_2,Look out! The animation for winning red envelopes is currently playing!
gw_1,"This version is outdated. Please update to the latest release.
Your version: %s Latest version: %s"
RedEnrelope_frequency,kali
Congrats_RedEnrelope,Selamat sudah mendapatkan angpao
RedEnrelope_bonus,Bonus adalah
total_Bet,Total taruhan
total_payout_first,Total pembagian bonus
on_change_video_host,Sistem penundaan jaringan Anda akan secara otomatis beralih ke saluran yang lebih baik
gw_2,Versi saat ini
gw_3,Versi terbaru
gw_4,"Versi terlalu lama, tidak bisa login"
baccarat_customerBet_BetLimit,"Jumlah total taruhan tidak sesuai batas area taruhan, jadi taruhan tidak dapat ditempatkan."
txt_my_mm,Bahasa Myanmar
chat_ban_warn,Dilarang berbicara
chat_ban_msg,Anda telah dilarang selama%s menit
g_edit_chip,Pengaturan Chip
free_point,Poin hadiah
Currency_VN2,VND
Currency_ID2,IDR
Currency_KR2,KRW
baccarat_customerBet_Description,"Banker, Pemain, Tie, Banker Pair, Player Pair, bankerDragonBonus,playerDragonBonus, Banker Tunggal, Banker Ganda, Player Tunggal, Player Ganda, Besar, Kecil, Lucky6, bebas untuk mengkombinasikan berbagai jenis taruhan, dan posisi taruhan ditentukan sesuai keinginan sendiri."
Video_error,"Maaf, data video telah kedaluwarsa"
BB_Description,"Kecepatan memasang taruhan yang lebih cepat 10x lipat daripada Baccarat tradisional, dapat memasang banyak taruhan dan menikmati pengalaman seru yang belum pernah ada sebelumnya, taruhan cepat, pengalaman membuka kartu dalam hitungan detik, tidak perlu menghabiskan waktu menunggu."
BB_Description1,Geser ke atas dan ke bawah untuk melihat bukaan di setiap ruangan dengan jelas.
BB_Description2,"Ingin memasuki game dengan cepat, pilih untuk bergabung dalam game baru atau bergabung di game akhir."
BB_Description3,"Klik pada tanda tanya bulat untuk membuka area taruhan dan pasang taruhan di banker, pemain, sisi tie, atau area taruhan samping lainnya."
BB_Description4,"Satu klik untuk membuka mode taruhan cepat, mempercepat memasang taruhan"
g_copy_all,Salin semua
friend_nick_check,Nama panggilan player harus antara 2 hingga 7 kata.
CustomizeBetMode_Description,Klik pada area taruhan untuk mengubah posisi taruhan
baccarat_customerBet_Description1,Hasil akhir ronde
baccarat_customerBet_Description2,Jumlah poin banker setelah ditambahkan di setiap ronde (termasuk jumlah kartu yang ditambahkan) bernilai ganjil
baccarat_customerBet_Description3,Jumlah poin banker setelah ditambahkan di setiap ronde (termasuk jumlah kartu yang ditambahkan) bernilai genap
baccarat_customerBet_Description4,Jumlah poin pemain setelah ditambahkan di setiap ronde (termasuk jumlah kartu yang ditambahkan) bernilai ganjil
baccarat_customerBet_Description5,Jumlah poin pemain setelah ditambahkan di setiap ronde (termasuk jumlah kartu yang ditambahkan) bernilai genap
g_warning_account_inactivated,Kata sandi salah
g_sw_token_invalid,"Token pemain kedaluwarsa, harap login ulang"
odd_even_Description,"Catatan: banker ganjil, banker genap, pemain ganjil, pemain genap; ketika hasil dari permainan adalah 0, maka dianggap sebagai genap."
g_nn_name,Bull Bull
nn_equal,Senilai
nn_double,Lipat Ganda
NEWYEAR_THEME,Selamat Tahun Baru
g_warning_connection_server_failed_loading,"连接服务器失败，请稍后重试
Connection to server failed"
